traj_idx,H,K
0,0.5736995078623295,1.3085879
1,0.21014969237148762,0.54348755
2,0.5607536043971777,1.363635
3,0.7651848793029785,1.0227798
4,0.30173397017642856,0.5399362
5,0.38974088430404663,1.014036
6,0.41132677625864744,0.45161614
7,0.6324656009674072,2.9867976
8,0.6341776233166456,1.8478065
9,0.7288259863853455,2.1685033
10,0.323525401763618,0.46929145
11,0.35996696446090937,0.3872492
12,0.4996968833729625,2.1465816
13,0.23529620468616486,0.67001593
14,0.4186183391138911,1.7163006
15,0.625934973359108,1.2956198
16,0.5118631720542908,0.5194754
17,0.34886276349425316,0.29503614
18,0.4568026550114155,0.23322217
19,0.8696433305740356,2.0684893
20,0.3003939348272979,0.5885807
21,0.4912875611335039,1.5785131
22,0.8151654209941626,1.9357699
23,0.5493934350088239,1.9115566
24,0.43487491831183434,1.3421506
25,0.2927288538776338,0.9534686
26,0.4740853011608124,1.3905193
27,0.3826640546321869,1.2387165
28,0.5771805588155985,1.5342941
29,0.4497019946575165,2.5712588
30,0.4791025500744581,0.9394461
31,0.5762831568717957,1.4283512
32,0.5323933362960815,1.4012233
33,0.7599292993545532,0.9114092
34,0.29932526452466846,0.2653792
35,0.6046619694679976,1.0036875
36,0.1800287300720811,0.5882087
37,0.782284639775753,2.7141244
38,0.8169876802712679,1.8443241
39,0.46539944410324097,0.77836186
40,0.549873948097229,1.2740248
41,0.46057713963091373,0.3091726
42,0.3212912743911147,1.1960609
43,0.20556020876392722,0.30301642
44,0.6066756844520569,0.34990177
45,0.5491420105099678,2.7531812
46,0.24977940786629915,0.5472159
47,0.3831196743994951,1.3847951
48,0.5896046152338386,1.2211403
49,0.2913371855393052,1.1422417
50,0.451793116517365,3.4433281
51,0.6148727964609861,1.2929718
52,0.42839635722339153,0.5491933
53,0.268638351932168,0.29584977
54,0.490286773070693,1.51069
55,0.6023005247116089,0.9393764
56,0.8119347654283047,1.5067252
57,0.597927451133728,0.6676545
58,0.4421600103378296,0.11543437
59,0.6629380658268929,0.82677674
60,0.26326497457921505,0.65758604
61,0.8467733487486839,1.0233285
62,0.4006498381495476,0.3730307
63,0.5279054641723633,1.1663414
64,0.39840343594551086,0.9177737
65,0.5590324196964502,2.0840778
66,0.3982855146750808,0.57522
67,0.744643522426486,1.5761708
68,0.7403934001922607,5.255548
69,0.3563614785671234,0.9702588
70,0.5037881135940552,1.8656203
71,0.4525252431631088,1.2258997
72,0.3458099961280823,0.60223365
73,0.8395533561706543,1.5839885
74,0.5532646644860506,1.4880925
75,0.7366431951522827,2.8768055
76,0.5197067940607667,0.7363605
77,0.44438856840133667,1.0628119
78,0.30085939168930054,0.8071664
79,0.6116068251430988,0.91056496
80,0.40153705049306154,0.25188887
81,0.7159507274627686,5.464036
82,0.3856469392776489,1.1091648
83,0.43781721591949463,0.14654191
84,0.19030949333682656,0.29977694
85,0.32609410397708416,0.30974638
86,0.4216572642326355,0.72419524
87,0.5043902397155762,1.9318495
88,0.6873542871326208,1.317134
89,0.39077621698379517,1.7845784
90,0.3237165277823806,1.812741
91,0.6242640018463135,1.2695947
92,0.6782322768121958,1.1513197
93,0.8959358911961317,2.8532333
94,0.3578172381967306,0.36718717
95,0.3087488552555442,0.57174134
96,0.6429420709609985,2.0893884
97,0.6130978278815746,0.98355824
98,0.7515474036335945,1.3438046
99,0.5494424244388938,1.6581436
100,0.5572077035903931,1.7410157
101,0.35897063836455345,0.39310768
102,0.4249918460845947,0.9120875
103,0.41081053018569946,1.9325428
104,0.4209936261177063,2.455735
105,0.28391738748177886,1.2166921
106,0.6034685745835304,0.8015322
107,0.29739502910524607,0.7151528
108,0.4135821098461747,0.42660117
109,0.5022037029266357,0.8180859
110,0.6208861516788602,1.2731829
111,0.5620992630720139,2.1417084
112,0.17689987365156412,0.6096682
113,0.3793010851368308,0.6859689
114,0.5251384321600199,1.2333226
115,0.39054226875305176,0.5037508
116,0.40912655368447304,0.34977385
117,0.3186762658879161,0.9010513
118,0.4243399500846863,0.89989376
119,0.2956012347713113,0.42287338
120,0.36416852474212646,1.7337033
121,0.782808780670166,0.7520677
122,0.4393835663795471,0.60247713
123,0.6213349997997284,1.0478519
124,0.8026510216295719,1.3556479
125,0.4498977065086365,0.6211354
126,0.3284613494761288,0.27660772
127,0.30704206228256226,0.45231754
128,0.37338842637836933,0.5671086
129,0.6208980679512024,1.0189162
130,0.44603704288601875,1.5523676
131,0.5427573267370462,1.6930804
132,0.5132353734225035,1.1097932
133,0.4625992774963379,2.8432698
134,0.5803082762286067,1.1368722
135,0.4594820383936167,0.6157252
136,0.3671886418014765,0.2513694
137,0.502981691621244,0.74961054
138,0.3315915269777179,0.15740637
139,0.7128929365426302,1.1699536
140,0.4798189178109169,1.682462
141,0.3676815163344145,0.5116989
142,0.7792837359011173,3.1661575
143,0.33710306882858276,0.38581893
144,0.5649594431743026,2.0267181
145,0.33846296090632677,1.5717796
146,0.2747250013053417,0.31558523
147,0.6265373453497887,1.2539823
148,0.8561004996299744,2.8695333
149,0.5424806289374828,1.5981246
150,0.38165515661239624,0.8994608
151,0.41706743836402893,1.7950544
152,0.44310699589550495,0.7352842
153,0.5993632674217224,2.4540477
154,0.7917486112564802,1.960266
155,0.7686225883662701,1.7268052
156,0.47157368063926697,0.16181107
157,0.3219795795157552,0.25333494
158,0.7832761816680431,0.9428691
159,0.5023232102394104,1.2718569
160,0.1784897092729807,0.47365186
161,0.48618963174521923,1.5320445
162,0.6788663268089294,1.8770511
163,0.2964902436360717,0.35846284
164,0.2896199934184551,1.0775968
165,0.8245122842490673,1.6629337
166,0.8004643246531487,4.1870437
167,0.6416696682572365,0.9129802
168,0.398927110247314,0.5049165
169,0.3166749430820346,1.180549
170,0.7802395820617676,2.0293496
171,0.23285924084484577,0.27103785
172,0.7314811162650585,1.6100479
173,0.30407594982534647,0.9533555
174,0.3515259539708495,0.8752709
175,0.353832121938467,2.0344744
176,0.3060426749289036,0.44299075
177,0.6670341491699219,0.400483
178,0.4805306289345026,1.5974293
179,0.5169183611869812,1.371881
180,0.7660820670425892,1.494621
181,0.37247604969888926,2.3356996
182,0.6579914595931768,0.8209663
183,0.6247712969779968,1.8927239
184,0.538864566013217,1.1009278
185,0.7253161389380693,1.9189212
186,0.4404800534248352,0.48987466
187,0.3267720341682434,1.2600385
188,0.7025841474533081,1.49953
189,0.212327241897583,0.977251
190,0.2408595960587263,0.2891108
191,0.23202049545943737,0.18919115
192,0.7060115728527308,1.1785855
193,0.6126474142074585,1.4232128
194,0.7106019854545593,0.85932714
195,0.6823509335517883,1.3520205
196,0.5022112727165222,1.0616965
197,0.4796013552695513,1.0742451
198,0.44576215744018555,1.6332417
199,0.24721661861985922,0.43851447
200,0.6171332783997059,1.6980313
201,0.7713088504970074,1.727366
202,0.5474812285974622,0.89888793
203,0.7949513532221317,1.5742664
204,0.7499101161956787,1.3689325
205,0.36576325818896294,1.7619064
206,0.33433118276298046,2.8556292
207,0.3186031663790345,2.0695307
208,0.3266835561953485,2.0573955
209,0.7130230478942394,1.2955806
210,0.2362933550029993,0.44571644
211,0.5005519138649106,0.5715573
212,0.26052380073815584,0.34291306
213,0.3243769705295563,0.22888203
214,0.3203398762270808,0.44314414
215,0.42021160013973713,0.4745911
216,0.4826821219176054,0.39277163
217,0.205967933870852,0.5578523
218,0.7198907155543566,1.6391294
219,0.3629613220691681,0.15447924
220,0.8376496117562056,1.3940606
221,0.22487702127546072,0.24478005
222,0.4135922621935606,1.1686796
223,0.7177854776382446,1.7171723
224,0.746215445920825,1.2579829
225,0.42556937597692013,0.9474374
